species,variable,value
BM48-31__Rhinolophus_blasii,SARS_CoV__Homo_sapiens,64
Khosta2__Rhinolophus_hipposideros,SARS_CoV__Homo_sapiens,64
Khosta1__Rhinolophus_ferrumequinum,SARS_CoV__Homo_sapiens,58
PRD-0038__Rhinolophus,SARS_CoV__Homo_sapiens,57
BtKY72__Rhinolophus,SARS_CoV__Homo_sapiens,58
PRD-2386__Rhinolophus,SARS_CoV__Homo_sapiens,58
RaTG15__Rhinolophus_affinis,SARS_CoV__Homo_sapiens,70
SARS_CoV-2__Homo_sapiens,SARS_CoV__Homo_sapiens,60
RaTG13__Rhinolophus_affinis,SARS_CoV__Homo_sapiens,56
Rs4231__Rhinolophus_sinicus,SARS_CoV__Homo_sapiens,40
SARS_CoV__Homo_sapiens,SARS_CoV__Homo_sapiens,0
LYRa11__Rhinolophus_affinis,SARS_CoV__Homo_sapiens,13
Rs7327__Rhinolophus_sinicus,SARS_CoV__Homo_sapiens,10
WIV1__Rhinolophus_sinicus,SARS_CoV__Homo_sapiens,12
YN2013__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,82
Rf1__Rhinolophus_ferrumequium,LYRa11__Rhinolophus_affinis,78
Rs4247__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,81
Rs4237__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,78
Rp3__Rhinolophus_pearsonii,LYRa11__Rhinolophus_affinis,79
RhGB01__Rhinolophus_hipposideros,LYRa11__Rhinolophus_affinis,72
BB9904__Rhinolophus_euryale,LYRa11__Rhinolophus_affinis,71
BM48-31__Rhinolophus_blasii,LYRa11__Rhinolophus_affinis,63
Khosta2__Rhinolophus_hipposideros,LYRa11__Rhinolophus_affinis,64
Khosta1__Rhinolophus_ferrumequinum,LYRa11__Rhinolophus_affinis,56
PRD-0038__Rhinolophus,LYRa11__Rhinolophus_affinis,57
BtKY72__Rhinolophus,LYRa11__Rhinolophus_affinis,57
PRD-2386__Rhinolophus,LYRa11__Rhinolophus_affinis,57
RaTG15__Rhinolophus_affinis,LYRa11__Rhinolophus_affinis,69
SARS_CoV-2__Homo_sapiens,LYRa11__Rhinolophus_affinis,59
RaTG13__Rhinolophus_affinis,LYRa11__Rhinolophus_affinis,55
Rs4231__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,37
SARS_CoV__Homo_sapiens,LYRa11__Rhinolophus_affinis,13
LYRa11__Rhinolophus_affinis,LYRa11__Rhinolophus_affinis,0
Rs7327__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,6
WIV1__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,8
YN2013__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,82
Rf1__Rhinolophus_ferrumequium,Rs7327__Rhinolophus_sinicus,78
Rs4247__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,81
Rs4237__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,79
Rp3__Rhinolophus_pearsonii,Rs7327__Rhinolophus_sinicus,80
RhGB01__Rhinolophus_hipposideros,Rs7327__Rhinolophus_sinicus,70
BB9904__Rhinolophus_euryale,Rs7327__Rhinolophus_sinicus,69
BM48-31__Rhinolophus_blasii,Rs7327__Rhinolophus_sinicus,62
Khosta2__Rhinolophus_hipposideros,Rs7327__Rhinolophus_sinicus,63
Khosta1__Rhinolophus_ferrumequinum,Rs7327__Rhinolophus_sinicus,55
PRD-0038__Rhinolophus,Rs7327__Rhinolophus_sinicus,56
BtKY72__Rhinolophus,Rs7327__Rhinolophus_sinicus,56
PRD-2386__Rhinolophus,Rs7327__Rhinolophus_sinicus,56
RaTG15__Rhinolophus_affinis,Rs7327__Rhinolophus_sinicus,68
SARS_CoV-2__Homo_sapiens,Rs7327__Rhinolophus_sinicus,56
RaTG13__Rhinolophus_affinis,Rs7327__Rhinolophus_sinicus,55
Rs4231__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,33
SARS_CoV__Homo_sapiens,Rs7327__Rhinolophus_sinicus,10
LYRa11__Rhinolophus_affinis,Rs7327__Rhinolophus_sinicus,6
Rs7327__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,0
WIV1__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,4
YN2013__Rhinolophus_sinicus,WIV1__Rhinolophus_sinicus,81
Rf1__Rhinolophus_ferrumequium,WIV1__Rhinolophus_sinicus,77
Rs4247__Rhinolophus_sinicus,WIV1__Rhinolophus_sinicus,80
Rs4237__Rhinolophus_sinicus,WIV1__Rhinolophus_sinicus,77
Rp3__Rhinolophus_pearsonii,WIV1__Rhinolophus_sinicus,78
RhGB01__Rhinolophus_hipposideros,WIV1__Rhinolophus_sinicus,69
BB9904__Rhinolophus_euryale,WIV1__Rhinolophus_sinicus,68
BM48-31__Rhinolophus_blasii,WIV1__Rhinolophus_sinicus,61
Khosta2__Rhinolophus_hipposideros,WIV1__Rhinolophus_sinicus,63
Khosta1__Rhinolophus_ferrumequinum,WIV1__Rhinolophus_sinicus,53
PRD-0038__Rhinolophus,WIV1__Rhinolophus_sinicus,54
BtKY72__Rhinolophus,WIV1__Rhinolophus_sinicus,56
PRD-2386__Rhinolophus,WIV1__Rhinolophus_sinicus,54
RaTG15__Rhinolophus_affinis,WIV1__Rhinolophus_sinicus,67
SARS_CoV-2__Homo_sapiens,WIV1__Rhinolophus_sinicus,55
RaTG13__Rhinolophus_affinis,WIV1__Rhinolophus_sinicus,53
Rs4231__Rhinolophus_sinicus,WIV1__Rhinolophus_sinicus,35
SARS_CoV__Homo_sapiens,WIV1__Rhinolophus_sinicus,12
LYRa11__Rhinolophus_affinis,WIV1__Rhinolophus_sinicus,8
Rs7327__Rhinolophus_sinicus,WIV1__Rhinolophus_sinicus,4
WIV1__Rhinolophus_sinicus,WIV1__Rhinolophus_sinicus,0
