variable,species,value,clade_species,clade_variable
PRD-2386__Rhinolophus,Rs4237__Rhinolophus_sinicus,78,2,3
PRD-2386__Rhinolophus,Rs4231__Rhinolophus_sinicus,54,1,3
PRD-2386__Rhinolophus,Khosta1__Rhinolophus_ferrumequinum,23,3,3
PRD-2386__Rhinolophus,YN2013__Rhinolophus_sinicus,80,2,3
PRD-2386__Rhinolophus,RaTG13__Rhinolophus_affinis,61,1,3
PRD-2386__Rhinolophus,ZXC21__Rhinolophus_sinicus,83,2,3
PRD-2386__Rhinolophus,PRD-0038__Rhinolophus,3,3,3
PRD-2386__Rhinolophus,SARS_CoV-2__Homo_sapiens,59,1,3
PRD-2386__Rhinolophus,BB9904__Rhinolophus_euryale,46,3,3
PRD-2386__Rhinolophus,PRD-2386__Rhinolophus,0,3,3
PRD-2386__Rhinolophus,JL2012__Rhinolophus_ferrumequinum,85,2,3
PRD-2386__Rhinolophus,Rs4081__Rhinolophus_sinicus,79,2,3
PRD-2386__Rhinolophus,Rf4092__Rhinolophus_ferrumequium,83,2,3
PRD-2386__Rhinolophus,Rs4084__Rhinolophus_sinicus,55,1,3
PRD-2386__Rhinolophus,LYRa11__Rhinolophus_affinis,57,1,3
PRD-2386__Rhinolophus,Rf1__Rhinolophus_ferrumequium,79,2,3
PRD-2386__Rhinolophus,RsSHC014__Rhinolophus_sinicus,54,1,3
PRD-2386__Rhinolophus,RaTG15__Rhinolophus_affinis,65,1,3
RaTG13__Rhinolophus_affinis,Rf4092__Rhinolophus_ferrumequium,79,2,1
RaTG13__Rhinolophus_affinis,Rs4237__Rhinolophus_sinicus,80,2,1
RaTG13__Rhinolophus_affinis,RhGB01__Rhinolophus_hipposideros,77,3,1
RaTG13__Rhinolophus_affinis,Khosta2__Rhinolophus_hipposideros,74,3,1
RaTG13__Rhinolophus_affinis,PRD-0038__Rhinolophus,61,3,1
RaTG13__Rhinolophus_affinis,HeB2013__Rhinolophus_ferrumequium,81,2,1
RaTG13__Rhinolophus_affinis,WIV1__Rhinolophus_sinicus,53,1,1
RaTG13__Rhinolophus_affinis,JL2012__Rhinolophus_ferrumequinum,82,2,1
RaTG13__Rhinolophus_affinis,LYRa11__Rhinolophus_affinis,55,1,1
RaTG13__Rhinolophus_affinis,RaTG15__Rhinolophus_affinis,65,1,1
RaTG13__Rhinolophus_affinis,YN2013__Rhinolophus_sinicus,84,2,1
RaTG13__Rhinolophus_affinis,SARS_CoV-2__Homo_sapiens,22,1,1
RaTG13__Rhinolophus_affinis,PRD-2386__Rhinolophus,61,3,1
RaTG13__Rhinolophus_affinis,Rs4084__Rhinolophus_sinicus,55,1,1
RaTG13__Rhinolophus_affinis,RaTG13__Rhinolophus_affinis,0,1,1
RaTG13__Rhinolophus_affinis,Shaanxi2011__Rhinolophus_pusillus,77,2,1
RaTG13__Rhinolophus_affinis,ZXC21__Rhinolophus_sinicus,78,2,1
RaTG13__Rhinolophus_affinis,Rs806/2006__Rhinolophus_sinicus,78,2,1
RaTG13__Rhinolophus_affinis,Rf1__Rhinolophus_ferrumequium,81,2,1
RaTG13__Rhinolophus_affinis,Rp3__Rhinolophus_pearsonii,79,2,1
RaTG13__Rhinolophus_affinis,RsSHC014__Rhinolophus_sinicus,54,1,1
RaTG13__Rhinolophus_affinis,Khosta1__Rhinolophus_ferrumequinum,62,3,1
RaTG13__Rhinolophus_affinis,BM48-31__Rhinolophus_blasii,70,3,1
RaTG13__Rhinolophus_affinis,Rs4231__Rhinolophus_sinicus,54,1,1
RaTG13__Rhinolophus_affinis,HuB2013__Rhinolophus_sinicus,78,2,1
RaTG13__Rhinolophus_affinis,Rs7327__Rhinolophus_sinicus,55,1,1
RaTG13__Rhinolophus_affinis,Rs4081__Rhinolophus_sinicus,81,2,1
RaTG13__Rhinolophus_affinis,Rs4237__Rhinolophus_sinicus,80,2,1
RaTG13__Rhinolophus_affinis,SARS_CoV__Homo_sapiens,56,1,1
RaTG13__Rhinolophus_affinis,BtKY72__Rhinolophus,62,3,1
RaTG13__Rhinolophus_affinis,BB9904__Rhinolophus_euryale,78,3,1
RaTG15__Rhinolophus_affinis,Rs4237__Rhinolophus_sinicus,80,2,1
RaTG15__Rhinolophus_affinis,JL2012__Rhinolophus_ferrumequinum,79,2,1
RaTG15__Rhinolophus_affinis,LYRa11__Rhinolophus_affinis,69,1,1
RaTG15__Rhinolophus_affinis,ZXC21__Rhinolophus_sinicus,78,2,1
RaTG15__Rhinolophus_affinis,Rf1__Rhinolophus_ferrumequium,78,2,1
RaTG15__Rhinolophus_affinis,Rf4092__Rhinolophus_ferrumequium,78,2,1
RaTG15__Rhinolophus_affinis,SARS_CoV-2__Homo_sapiens,64,1,1
RaTG15__Rhinolophus_affinis,Rp3__Rhinolophus_pearsonii,78,2,1
RaTG15__Rhinolophus_affinis,Shaanxi2011__Rhinolophus_pusillus,76,2,1
RaTG15__Rhinolophus_affinis,RaTG13__Rhinolophus_affinis,65,1,1
RaTG15__Rhinolophus_affinis,Khosta1__Rhinolophus_ferrumequinum,65,3,1
RaTG15__Rhinolophus_affinis,WIV1__Rhinolophus_sinicus,67,1,1
RaTG15__Rhinolophus_affinis,HeB2013__Rhinolophus_ferrumequium,78,2,1
RaTG15__Rhinolophus_affinis,BtKY72__Rhinolophus,67,3,1
RaTG15__Rhinolophus_affinis,SARS_CoV__Homo_sapiens,70,1,1
RaTG15__Rhinolophus_affinis,Rs4237__Rhinolophus_sinicus,80,2,1
RaTG15__Rhinolophus_affinis,Rs4231__Rhinolophus_sinicus,68,1,1
RaTG15__Rhinolophus_affinis,PRD-2386__Rhinolophus,65,3,1
RaTG15__Rhinolophus_affinis,Khosta2__Rhinolophus_hipposideros,78,3,1
RaTG15__Rhinolophus_affinis,BM48-31__Rhinolophus_blasii,69,3,1
RaTG15__Rhinolophus_affinis,Rs7327__Rhinolophus_sinicus,68,1,1
RaTG15__Rhinolophus_affinis,YN2013__Rhinolophus_sinicus,82,2,1
RaTG15__Rhinolophus_affinis,Rs806/2006__Rhinolophus_sinicus,79,2,1
RaTG15__Rhinolophus_affinis,RsSHC014__Rhinolophus_sinicus,68,1,1
RaTG15__Rhinolophus_affinis,PRD-0038__Rhinolophus,66,3,1
RaTG15__Rhinolophus_affinis,Rs4084__Rhinolophus_sinicus,69,1,1
RaTG15__Rhinolophus_affinis,HuB2013__Rhinolophus_sinicus,78,2,1
RaTG15__Rhinolophus_affinis,BB9904__Rhinolophus_euryale,72,3,1
RaTG15__Rhinolophus_affinis,RhGB01__Rhinolophus_hipposideros,80,3,1
RaTG15__Rhinolophus_affinis,RaTG15__Rhinolophus_affinis,0,1,1
RaTG15__Rhinolophus_affinis,Rs4081__Rhinolophus_sinicus,82,2,1
Rf1__Rhinolophus_ferrumequium,Rf1__Rhinolophus_ferrumequium,0,2,2
Rf1__Rhinolophus_ferrumequium,HeB2013__Rhinolophus_ferrumequium,1,2,2
Rf1__Rhinolophus_ferrumequium,Khosta1__Rhinolophus_ferrumequinum,77,3,2
Rf1__Rhinolophus_ferrumequium,SARS_CoV__Homo_sapiens,80,1,2
Rf1__Rhinolophus_ferrumequium,RaTG15__Rhinolophus_affinis,78,1,2
Rf1__Rhinolophus_ferrumequium,ZXC21__Rhinolophus_sinicus,15,2,2
Rf1__Rhinolophus_ferrumequium,Rs4237__Rhinolophus_sinicus,22,2,2
Rf1__Rhinolophus_ferrumequium,Rs7327__Rhinolophus_sinicus,78,1,2
Rf1__Rhinolophus_ferrumequium,Rs4081__Rhinolophus_sinicus,21,2,2
Rf1__Rhinolophus_ferrumequium,BtKY72__Rhinolophus,80,3,2
Rf1__Rhinolophus_ferrumequium,BM48-31__Rhinolophus_blasii,79,3,2
Rf1__Rhinolophus_ferrumequium,RsSHC014__Rhinolophus_sinicus,79,1,2
Rf1__Rhinolophus_ferrumequium,LYRa11__Rhinolophus_affinis,78,1,2
Rf1__Rhinolophus_ferrumequium,YN2013__Rhinolophus_sinicus,17,2,2
Rf1__Rhinolophus_ferrumequium,PRD-0038__Rhinolophus,80,3,2
Rf1__Rhinolophus_ferrumequium,SARS_CoV-2__Homo_sapiens,79,1,2
Rf1__Rhinolophus_ferrumequium,HuB2013__Rhinolophus_sinicus,23,2,2
Rf1__Rhinolophus_ferrumequium,BB9904__Rhinolophus_euryale,80,3,2
Rf1__Rhinolophus_ferrumequium,Rp3__Rhinolophus_pearsonii,21,2,2
Rf1__Rhinolophus_ferrumequium,Rs4084__Rhinolophus_sinicus,80,1,2
Rf1__Rhinolophus_ferrumequium,Khosta2__Rhinolophus_hipposideros,88,3,2
Rf1__Rhinolophus_ferrumequium,RhGB01__Rhinolophus_hipposideros,86,3,2
Rf1__Rhinolophus_ferrumequium,Rs4231__Rhinolophus_sinicus,79,1,2
Rf1__Rhinolophus_ferrumequium,JL2012__Rhinolophus_ferrumequinum,9,2,2
Rf1__Rhinolophus_ferrumequium,Rf4092__Rhinolophus_ferrumequium,14,2,2
Rf1__Rhinolophus_ferrumequium,PRD-2386__Rhinolophus,79,3,2
Rf1__Rhinolophus_ferrumequium,Rs4237__Rhinolophus_sinicus,22,2,2
Rf1__Rhinolophus_ferrumequium,WIV1__Rhinolophus_sinicus,77,1,2
Rf1__Rhinolophus_ferrumequium,Shaanxi2011__Rhinolophus_pusillus,21,2,2
Rf1__Rhinolophus_ferrumequium,Rs806/2006__Rhinolophus_sinicus,22,2,2
Rf1__Rhinolophus_ferrumequium,RaTG13__Rhinolophus_affinis,81,1,2
Rf4092__Rhinolophus_ferrumequium,HuB2013__Rhinolophus_sinicus,22,2,2
Rf4092__Rhinolophus_ferrumequium,Rs4237__Rhinolophus_sinicus,24,2,2
Rf4092__Rhinolophus_ferrumequium,Rs4084__Rhinolophus_sinicus,79,1,2
Rf4092__Rhinolophus_ferrumequium,SARS_CoV-2__Homo_sapiens,77,1,2
Rf4092__Rhinolophus_ferrumequium,Rs4231__Rhinolophus_sinicus,79,1,2
Rf4092__Rhinolophus_ferrumequium,Rf4092__Rhinolophus_ferrumequium,0,2,2
Rf4092__Rhinolophus_ferrumequium,YN2013__Rhinolophus_sinicus,16,2,2
Rf4092__Rhinolophus_ferrumequium,Rs4081__Rhinolophus_sinicus,23,2,2
Rf4092__Rhinolophus_ferrumequium,LYRa11__Rhinolophus_affinis,80,1,2
Rf4092__Rhinolophus_ferrumequium,RsSHC014__Rhinolophus_sinicus,79,1,2
Rf4092__Rhinolophus_ferrumequium,ZXC21__Rhinolophus_sinicus,15,2,2
Rf4092__Rhinolophus_ferrumequium,BtKY72__Rhinolophus,84,3,2
Rf4092__Rhinolophus_ferrumequium,Khosta2__Rhinolophus_hipposideros,89,3,2
Rf4092__Rhinolophus_ferrumequium,HeB2013__Rhinolophus_ferrumequium,15,2,2
Rf4092__Rhinolophus_ferrumequium,RhGB01__Rhinolophus_hipposideros,89,3,2
Rf4092__Rhinolophus_ferrumequium,Rf1__Rhinolophus_ferrumequium,14,2,2
Rf4092__Rhinolophus_ferrumequium,PRD-0038__Rhinolophus,84,3,2
Rf4092__Rhinolophus_ferrumequium,RaTG15__Rhinolophus_affinis,78,1,2
Rf4092__Rhinolophus_ferrumequium,BM48-31__Rhinolophus_blasii,82,3,2
Rf4092__Rhinolophus_ferrumequium,Rp3__Rhinolophus_pearsonii,21,2,2
Rf4092__Rhinolophus_ferrumequium,Rs4237__Rhinolophus_sinicus,24,2,2
Rf4092__Rhinolophus_ferrumequium,Rs7327__Rhinolophus_sinicus,79,1,2
Rf4092__Rhinolophus_ferrumequium,JL2012__Rhinolophus_ferrumequinum,14,2,2
Rf4092__Rhinolophus_ferrumequium,Khosta1__Rhinolophus_ferrumequinum,82,3,2
Rf4092__Rhinolophus_ferrumequium,PRD-2386__Rhinolophus,83,3,2
Rf4092__Rhinolophus_ferrumequium,RaTG13__Rhinolophus_affinis,79,1,2
Rf4092__Rhinolophus_ferrumequium,SARS_CoV__Homo_sapiens,79,1,2
Rf4092__Rhinolophus_ferrumequium,Shaanxi2011__Rhinolophus_pusillus,21,2,2
Rf4092__Rhinolophus_ferrumequium,Rs806/2006__Rhinolophus_sinicus,22,2,2
Rf4092__Rhinolophus_ferrumequium,WIV1__Rhinolophus_sinicus,78,1,2
Rf4092__Rhinolophus_ferrumequium,BB9904__Rhinolophus_euryale,84,3,2
RhGB01__Rhinolophus_hipposideros,ZXC21__Rhinolophus_sinicus,90,2,3
RhGB01__Rhinolophus_hipposideros,PRD-2386__Rhinolophus,59,3,3
RhGB01__Rhinolophus_hipposideros,Rs4237__Rhinolophus_sinicus,85,2,3
RhGB01__Rhinolophus_hipposideros,Rs4237__Rhinolophus_sinicus,85,2,3
RhGB01__Rhinolophus_hipposideros,SARS_CoV__Homo_sapiens,73,1,3
RhGB01__Rhinolophus_hipposideros,JL2012__Rhinolophus_ferrumequinum,88,2,3
RhGB01__Rhinolophus_hipposideros,BtKY72__Rhinolophus,58,3,3
RhGB01__Rhinolophus_hipposideros,Khosta2__Rhinolophus_hipposideros,61,3,3
RhGB01__Rhinolophus_hipposideros,Rs4081__Rhinolophus_sinicus,87,2,3
RhGB01__Rhinolophus_hipposideros,BM48-31__Rhinolophus_blasii,52,3,3
RhGB01__Rhinolophus_hipposideros,PRD-0038__Rhinolophus,59,3,3
RhGB01__Rhinolophus_hipposideros,Rs4231__Rhinolophus_sinicus,74,1,3
RhGB01__Rhinolophus_hipposideros,Rf4092__Rhinolophus_ferrumequium,89,2,3
RhGB01__Rhinolophus_hipposideros,RaTG13__Rhinolophus_affinis,77,1,3
RhGB01__Rhinolophus_hipposideros,RaTG15__Rhinolophus_affinis,80,1,3
RhGB01__Rhinolophus_hipposideros,RhGB01__Rhinolophus_hipposideros,0,3,3
RhGB01__Rhinolophus_hipposideros,Rs4084__Rhinolophus_sinicus,74,1,3
RhGB01__Rhinolophus_hipposideros,SARS_CoV-2__Homo_sapiens,74,1,3
RhGB01__Rhinolophus_hipposideros,WIV1__Rhinolophus_sinicus,70,1,3
RhGB01__Rhinolophus_hipposideros,LYRa11__Rhinolophus_affinis,72,1,3
RhGB01__Rhinolophus_hipposideros,Rs806/2006__Rhinolophus_sinicus,87,2,3
RhGB01__Rhinolophus_hipposideros,Shaanxi2011__Rhinolophus_pusillus,85,2,3
RhGB01__Rhinolophus_hipposideros,HeB2013__Rhinolophus_ferrumequium,86,2,3
RhGB01__Rhinolophus_hipposideros,RsSHC014__Rhinolophus_sinicus,73,1,3
RhGB01__Rhinolophus_hipposideros,Rs7327__Rhinolophus_sinicus,70,1,3
RhGB01__Rhinolophus_hipposideros,BB9904__Rhinolophus_euryale,56,3,3
RhGB01__Rhinolophus_hipposideros,Rf1__Rhinolophus_ferrumequium,86,2,3
RhGB01__Rhinolophus_hipposideros,Khosta1__Rhinolophus_ferrumequinum,57,3,3
RhGB01__Rhinolophus_hipposideros,Rp3__Rhinolophus_pearsonii,85,2,3
RhGB01__Rhinolophus_hipposideros,HuB2013__Rhinolophus_sinicus,85,2,3
RhGB01__Rhinolophus_hipposideros,YN2013__Rhinolophus_sinicus,90,2,3
Rp3__Rhinolophus_pearsonii,ZXC21__Rhinolophus_sinicus,19,2,2
Rp3__Rhinolophus_pearsonii,Rs4237__Rhinolophus_sinicus,6,2,2
Rp3__Rhinolophus_pearsonii,LYRa11__Rhinolophus_affinis,79,1,2
Rp3__Rhinolophus_pearsonii,BtKY72__Rhinolophus,80,3,2
Rp3__Rhinolophus_pearsonii,Rp3__Rhinolophus_pearsonii,0,2,2
Rp3__Rhinolophus_pearsonii,Rs806/2006__Rhinolophus_sinicus,9,2,2
Rp3__Rhinolophus_pearsonii,WIV1__Rhinolophus_sinicus,78,1,2
Rp3__Rhinolophus_pearsonii,Rs4231__Rhinolophus_sinicus,80,1,2
Rp3__Rhinolophus_pearsonii,Rs4237__Rhinolophus_sinicus,6,2,2
Rp3__Rhinolophus_pearsonii,Rf1__Rhinolophus_ferrumequium,21,2,2
Rp3__Rhinolophus_pearsonii,BB9904__Rhinolophus_euryale,82,3,2
Rp3__Rhinolophus_pearsonii,BM48-31__Rhinolophus_blasii,83,3,2
Rp3__Rhinolophus_pearsonii,HeB2013__Rhinolophus_ferrumequium,21,2,2
Rp3__Rhinolophus_pearsonii,RaTG15__Rhinolophus_affinis,78,1,2
Rp3__Rhinolophus_pearsonii,Rf4092__Rhinolophus_ferrumequium,21,2,2
Rp3__Rhinolophus_pearsonii,Rs4084__Rhinolophus_sinicus,81,1,2
Rp3__Rhinolophus_pearsonii,RaTG13__Rhinolophus_affinis,79,1,2
Rp3__Rhinolophus_pearsonii,Shaanxi2011__Rhinolophus_pusillus,9,2,2
Rp3__Rhinolophus_pearsonii,SARS_CoV__Homo_sapiens,81,1,2
Rp3__Rhinolophus_pearsonii,HuB2013__Rhinolophus_sinicus,13,2,2
Rp3__Rhinolophus_pearsonii,JL2012__Rhinolophus_ferrumequinum,24,2,2
Rp3__Rhinolophus_pearsonii,RsSHC014__Rhinolophus_sinicus,80,1,2
Rp3__Rhinolophus_pearsonii,Rs7327__Rhinolophus_sinicus,80,1,2
Rp3__Rhinolophus_pearsonii,PRD-0038__Rhinolophus,80,3,2
Rp3__Rhinolophus_pearsonii,SARS_CoV-2__Homo_sapiens,79,1,2
Rp3__Rhinolophus_pearsonii,Khosta2__Rhinolophus_hipposideros,87,3,2
Rp3__Rhinolophus_pearsonii,YN2013__Rhinolophus_sinicus,19,2,2
Rp3__Rhinolophus_pearsonii,Rs4081__Rhinolophus_sinicus,9,2,2
Rp3__Rhinolophus_pearsonii,Khosta1__Rhinolophus_ferrumequinum,78,3,2
Rp3__Rhinolophus_pearsonii,RhGB01__Rhinolophus_hipposideros,85,3,2
Rp3__Rhinolophus_pearsonii,PRD-2386__Rhinolophus,79,3,2
Rs4081__Rhinolophus_sinicus,Khosta1__Rhinolophus_ferrumequinum,78,3,2
Rs4081__Rhinolophus_sinicus,Rs4084__Rhinolophus_sinicus,83,1,2
Rs4081__Rhinolophus_sinicus,WIV1__Rhinolophus_sinicus,78,1,2
Rs4081__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,82,1,2
Rs4081__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,81,3,2
Rs4081__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,82,1,2
Rs4081__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,5,2,2
Rs4081__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,81,1,2
Rs4081__Rhinolophus_sinicus,Rf1__Rhinolophus_ferrumequium,21,2,2
Rs4081__Rhinolophus_sinicus,ZXC21__Rhinolophus_sinicus,21,2,2
Rs4081__Rhinolophus_sinicus,Rf4092__Rhinolophus_ferrumequium,23,2,2
Rs4081__Rhinolophus_sinicus,JL2012__Rhinolophus_ferrumequinum,25,2,2
Rs4081__Rhinolophus_sinicus,Rs4081__Rhinolophus_sinicus,0,2,2
Rs4081__Rhinolophus_sinicus,BtKY72__Rhinolophus,80,3,2
Rs4081__Rhinolophus_sinicus,Rs806/2006__Rhinolophus_sinicus,14,2,2
Rs4081__Rhinolophus_sinicus,RhGB01__Rhinolophus_hipposideros,87,3,2
Rs4081__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,5,2,2
Rs4081__Rhinolophus_sinicus,PRD-0038__Rhinolophus,80,3,2
Rs4081__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,9,2,2
Rs4081__Rhinolophus_sinicus,HuB2013__Rhinolophus_sinicus,15,2,2
Rs4081__Rhinolophus_sinicus,Shaanxi2011__Rhinolophus_pusillus,11,2,2
Rs4081__Rhinolophus_sinicus,RsSHC014__Rhinolophus_sinicus,82,1,2
Rs4081__Rhinolophus_sinicus,HeB2013__Rhinolophus_ferrumequium,22,2,2
Rs4081__Rhinolophus_sinicus,Khosta2__Rhinolophus_hipposideros,89,3,2
Rs4081__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,80,1,2
Rs4081__Rhinolophus_sinicus,SARS_CoV__Homo_sapiens,81,1,2
Rs4081__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,84,3,2
Rs4081__Rhinolophus_sinicus,RaTG13__Rhinolophus_affinis,81,1,2
Rs4081__Rhinolophus_sinicus,YN2013__Rhinolophus_sinicus,18,2,2
Rs4081__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,79,1,2
Rs4081__Rhinolophus_sinicus,PRD-2386__Rhinolophus,79,3,2
Rs4084__Rhinolophus_sinicus,Khosta2__Rhinolophus_hipposideros,69,3,1
Rs4084__Rhinolophus_sinicus,Shaanxi2011__Rhinolophus_pusillus,80,2,1
Rs4084__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,69,1,1
Rs4084__Rhinolophus_sinicus,JL2012__Rhinolophus_ferrumequinum,83,2,1
Rs4084__Rhinolophus_sinicus,Rf1__Rhinolophus_ferrumequium,80,2,1
Rs4084__Rhinolophus_sinicus,WIV1__Rhinolophus_sinicus,36,1,1
Rs4084__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,82,2,1
Rs4084__Rhinolophus_sinicus,BtKY72__Rhinolophus,56,3,1
Rs4084__Rhinolophus_sinicus,YN2013__Rhinolophus_sinicus,84,2,1
Rs4084__Rhinolophus_sinicus,SARS_CoV__Homo_sapiens,41,1,1
Rs4084__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,34,1,1
Rs4084__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,60,3,1
Rs4084__Rhinolophus_sinicus,RaTG13__Rhinolophus_affinis,55,1,1
Rs4084__Rhinolophus_sinicus,RsSHC014__Rhinolophus_sinicus,1,1,1
Rs4084__Rhinolophus_sinicus,HeB2013__Rhinolophus_ferrumequium,80,2,1
Rs4084__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,38,1,1
Rs4084__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,82,2,1
Rs4084__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,2,1,1
Rs4084__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,81,2,1
Rs4084__Rhinolophus_sinicus,PRD-2386__Rhinolophus,55,3,1
Rs4084__Rhinolophus_sinicus,RhGB01__Rhinolophus_hipposideros,74,3,1
Rs4084__Rhinolophus_sinicus,HuB2013__Rhinolophus_sinicus,80,2,1
Rs4084__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,55,1,1
Rs4084__Rhinolophus_sinicus,Khosta1__Rhinolophus_ferrumequinum,59,3,1
Rs4084__Rhinolophus_sinicus,ZXC21__Rhinolophus_sinicus,83,2,1
Rs4084__Rhinolophus_sinicus,Rs4081__Rhinolophus_sinicus,83,2,1
Rs4084__Rhinolophus_sinicus,Rs4084__Rhinolophus_sinicus,0,1,1
Rs4084__Rhinolophus_sinicus,Rf4092__Rhinolophus_ferrumequium,79,2,1
Rs4084__Rhinolophus_sinicus,Rs806/2006__Rhinolophus_sinicus,80,2,1
Rs4084__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,70,3,1
Rs4084__Rhinolophus_sinicus,PRD-0038__Rhinolophus,55,3,1
Rs4231__Rhinolophus_sinicus,RaTG13__Rhinolophus_affinis,54,1,1
Rs4231__Rhinolophus_sinicus,ZXC21__Rhinolophus_sinicus,82,2,1
Rs4231__Rhinolophus_sinicus,HeB2013__Rhinolophus_ferrumequium,79,2,1
Rs4231__Rhinolophus_sinicus,RsSHC014__Rhinolophus_sinicus,1,1,1
Rs4231__Rhinolophus_sinicus,WIV1__Rhinolophus_sinicus,35,1,1
Rs4231__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,37,1,1
Rs4231__Rhinolophus_sinicus,JL2012__Rhinolophus_ferrumequinum,82,2,1
Rs4231__Rhinolophus_sinicus,PRD-2386__Rhinolophus,54,3,1
Rs4231__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,81,2,1
Rs4231__Rhinolophus_sinicus,Rs4081__Rhinolophus_sinicus,82,2,1
Rs4231__Rhinolophus_sinicus,Rf1__Rhinolophus_ferrumequium,79,2,1
Rs4231__Rhinolophus_sinicus,Rf4092__Rhinolophus_ferrumequium,79,2,1
Rs4231__Rhinolophus_sinicus,Rs4084__Rhinolophus_sinicus,2,1,1
Rs4231__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,0,1,1
Rs4231__Rhinolophus_sinicus,RhGB01__Rhinolophus_hipposideros,74,3,1
Rs4231__Rhinolophus_sinicus,Rs806/2006__Rhinolophus_sinicus,79,2,1
Rs4231__Rhinolophus_sinicus,SARS_CoV__Homo_sapiens,40,1,1
Rs4231__Rhinolophus_sinicus,Khosta2__Rhinolophus_hipposideros,68,3,1
Rs4231__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,69,3,1
Rs4231__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,68,1,1
Rs4231__Rhinolophus_sinicus,HuB2013__Rhinolophus_sinicus,79,2,1
Rs4231__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,80,2,1
Rs4231__Rhinolophus_sinicus,Khosta1__Rhinolophus_ferrumequinum,58,3,1
Rs4231__Rhinolophus_sinicus,BtKY72__Rhinolophus,55,3,1
Rs4231__Rhinolophus_sinicus,PRD-0038__Rhinolophus,54,3,1
Rs4231__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,33,1,1
Rs4231__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,59,3,1
Rs4231__Rhinolophus_sinicus,Shaanxi2011__Rhinolophus_pusillus,79,2,1
Rs4231__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,54,1,1
Rs4231__Rhinolophus_sinicus,YN2013__Rhinolophus_sinicus,83,2,1
Rs4231__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,81,2,1
Rs4237__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,0,2,2
Rs4237__Rhinolophus_sinicus,Rs4237__Rhinolophus_sinicus,0,2,2
Rs4237__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,80,1,2
Rs4237__Rhinolophus_sinicus,SARS_CoV-2__Homo_sapiens,80,1,2
Rs4237__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,78,1,2
Rs4237__Rhinolophus_sinicus,LYRa11__Rhinolophus_affinis,78,1,2
Rs4237__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,81,1,2
Rs4237__Rhinolophus_sinicus,Rs4231__Rhinolophus_sinicus,81,1,2
Rs4237__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,80,1,2
Rs4237__Rhinolophus_sinicus,RaTG15__Rhinolophus_affinis,80,1,2
Rs4237__Rhinolophus_sinicus,PRD-2386__Rhinolophus,78,3,2
Rs4237__Rhinolophus_sinicus,PRD-2386__Rhinolophus,78,3,2
Rs4237__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,6,2,2
Rs4237__Rhinolophus_sinicus,Rp3__Rhinolophus_pearsonii,6,2,2
Rs4237__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,81,3,2
Rs4237__Rhinolophus_sinicus,BB9904__Rhinolophus_euryale,81,3,2
Rs4237__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,84,3,2
Rs4237__Rhinolophus_sinicus,BM48-31__Rhinolophus_blasii,84,3,2
Rs4237__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,79,1,2
Rs4237__Rhinolophus_sinicus,Rs7327__Rhinolophus_sinicus,79,1,2
Rs4237__Rhinolophus_sinicus,Rs4081__Rhinolophus_sinicus,5,2,2
Rs4237__Rhinolophus_sinicus,Rs4081__Rhinolophus_sinicus,5,2,2
